Real estate info,Real Estate Size(M^2),Real estate location,Price per M^2(mill),Total Price(bill),location
"Căn hộ chung cư Eco City Việt Hưng, 3,85 tỷ, 73m2, 2PN, 2WC, uy tín hàng hiếm tại Long Biên, Hà Nội",73,"Long Biên, Hà Nội","52,74 ",3.85,Long Biên
"Số hưởng tại căn hộ lý tưởng sẵn ngay căn hộ 4PN Tại FLC Star Tower - 113m2, giá 5. x tỷ",113,"Hà Đông, Hà Nội","52,66 ",5.95,Hà Đông
"Anh trai cần tiền đầu tư xuống tay bán căn hộ Booyong CT4 rộng 74.6m2 thiết kế 2PN, 4.xtỷ sang tên","74,6 ","Hà Đông, Hà Nội","65,01 ",4.85,Hà Đông
Sở hữu ngay căn 2PN tại dự án Melody Linh Đàm,75,"Hoàng Mai, Hà Nội",66,4.95,Hoàng Mai
Gấp bán Duplex toà B Sunshine Iconic mức giá cực rẻ 0979 227 ***,165,"Long Biên, Hà Nội","87,88 ",14.5,Long Biên
Nhu cầu mua ở gần trường cho con học cần bán căn hộ 2PN 2WC đã làm full nội thất cao cấp rất ít ở,"66,68 ","Hoài Đức, Hà Nội","63,74 ",4.25,Hoài Đức
"Bán căn hộ chung cư cao cấp tòa MHD 29 Tố Hữu Trung Văn, 110m2 3 ngủ 2 wc nội thất 5* giá 7,1tỷ",110,"Nam Từ Liêm, Hà Nội","64,54 ",7.1,Nam Từ Liêm
"Bán CC 3PN, 2WC, 85m2 tại An Bình Plaza, giá cực chất 5,2 tỷ",85,"Nam Từ Liêm, Hà Nội","61,18 ",5.2,Nam Từ Liêm
Nhận booking suất ngoại giao dự án The Matrix One GĐ2 giá tốt nhất thị trường. LH ngay 0918 033 ***,78,"Nam Từ Liêm, Hà Nội","114,1 ",8.9,Nam Từ Liêm
"Nhanh tay sở hữu căn hộ cao cấp nằm ngay tại Ba Đình, 3PN 106m2 giá chỉ từ 120tr/m2, LH 0918 033 ***",106,"Ba Đình, Hà Nội",130,13.78,Ba Đình
"Tôi chính chủ bán căn 2PN Rivera, 71m2, giá 6,1 tỷ, có thương lượng",71,"Thanh Xuân, Hà Nội","85,92 ",6.1,Thanh Xuân
Bán căn hộ 2 ngủ 71m2 tại chung cư A5 Học Viện Quân y full nội thất giá 4. X tỷ liên hệ 0878 800 ***,71,"Hà Đông, Hà Nội","59,16 ",4.2,Hà Đông
Cần bán: Căn hộ 110m2 căn góc mã 08 tòa M1,110,"Ba Đình, Hà Nội","151,82 ",16.7,Ba Đình
"Bán căn hộ 3 ngủ 100m2 duy nhất đang bán tại tòa CT1 Xa La, sổ đỏ giá 4. Xx tỷ Lh 0878 800 ***",100,"Hà Đông, Hà Nội","44,5 ",4.45,Hà Đông
"Bán căn hộ 73m2 2P 2VS view hồ nội thất đẹp tầng trung dự án Mỹ Đình Pearl, giá 5,5 tỷ sổ đỏ sẵn",73,"Nam Từ Liêm, Hà Nội","75,34 ",5.5,Nam Từ Liêm
"Chính chủ bán căn hộ tại Hà Nội Center Point 70m2, 2PN nội thất đẹp, giá 5,8 tỷ",70,"Thanh Xuân, Hà Nội","82,86 ",5.8,Thanh Xuân
Căn hộ 55m2; tòa M1 giá 8 tỷ (0913 809 ***) tầng 35,55,"Ba Đình, Hà Nội","145,46 ",8,Ba Đình
"Bán căn hộ DT 80m2 ở Hà Nội Center Point full nội thất chỉ việc vào ở, 3 phòng ngủ, giá 6 tỷ",80,"Thanh Xuân, Hà Nội",75,6,Thanh Xuân
"Tôi có căn hộ 57m2 tòa M2 bán với giá 8 tỷ, 0913 809 ***",57,"Ba Đình, Hà Nội","140,35 ",8,Ba Đình
"Bán căn hộ 2 ngủ sửa chữa đẹp tại CT5 Xa La, 68.11m2, sổ đỏ giá 3.35 tỷ LH 0878 800 ***","68,11 ","Hà Đông, Hà Nội","49,18 ",3.35,Hà Đông
Tổng hợp 03 Skyvillas Metropolis bán từ 50 tỷ,500,"Ba Đình, Hà Nội",200,100,Ba Đình
"Bán căn hộ 2 ngủ, 2vs, nhà đẹp tại V3 Victoria Văn Phú Hà Đông 97m2, giá 5.x tỷ tl lh 0878 800 ***",97,"Hà Đông, Hà Nội","54,12 ",5.25,Hà Đông
Tôi có căn góc 3 phòng ngủ M3 muốn bán giá 17 tỷ bao phí,115,"Ba Đình, Hà Nội","147,83 ",17,Ba Đình
Bán căn hộ 2 ngủ-2 vs toà CT2X2 Linh Đàm-Hoàng Mai-Hà Nội-DT 49m2 -sồ đỏ,49,"Hoàng Mai, Hà Nội","60,2 ",2.95,Hoàng Mai
"Bán căn thương mại H3.1507 diện tích 70m2 giá 3.5 tỷ bao sang tên, đã có sổ đỏ",70,"Long Biên, Hà Nội",50,3.5,Long Biên
"Chung cư cao cấp 2 phòng ngủ + 2 vệ sinh + 2 logia, có slot ô tô, free bể bơi 4 mùa và gym 2 năm",79,"Thanh Xuân, Hà Nội","87,34 ",6.9,Thanh Xuân
"Hot! Mở bán căn hộ 2PN+1 (89,5m2) đẹp nhất Melody Linh Đàm. Tặng ngay 555 triệu. Hotline 0986 477 ***","89,55 ","Hoàng Mai, Hà Nội","63,2 ",5.66,Hoàng Mai
"Bán căn hộ 78m2 3PN giá 3.8 tỷ tại Eco City Việt Hưng, Long Biên",78,"Long Biên, Hà Nội","48,72 ",3.8,Long Biên
"Bán CHCC Osaka Complex ngõ 48 Ngọc Hồi, căn góc. DT 71m2 2 ngủ 2 WC giá 3,9 tỷ, LH 0983 873 ***",71,"Hoàng Mai, Hà Nội","54,93 ",3.9,Hoàng Mai
"Bán CC 3PN, 2WC tại Dream Town, nhà cơ bản, tầng trung ban công hướng mát, giá ưu đãi chỉ 4 tỷ",105,"Nam Từ Liêm, Hà Nội","38,1 ",4,Nam Từ Liêm
Tôi bán nhà căn góc tầng 9 DT 130m2 (nội thất 2 tỷ) tại Vin 29 Liễu Giai,130,"Ba Đình, Hà Nội","157,69 ",20.5,Ba Đình
"Bán căn 2 ngủ 1vs tại chung cư FLC, 418 Quang Trung, Hà Đông 60m giá chỉ nhỉnh 3 tỷ lh 0878 800 ***",60,"Hà Đông, Hà Nội",55,3.3,Hà Đông
"Chính chủ cần bán gấp căn 2PN, 2WC Ecolife tầng trung tòa A2 full nội thất giá tôi bán 5 tỷ",111,"Nam Từ Liêm, Hà Nội","59,46 ",6.6,Nam Từ Liêm
"Siêu phẩm, 133m2, HĐMB tại chung cư SME Hoàng Gia, Tô Hiệu, Hà Đông, Lh 0878 800 ***",133,"Hà Đông, Hà Nội","40,98 ",5.45,Hà Đông
"Bán căn hộ chung cư Ba Hàng 282 Lĩnh Nam - Hoàng Mai sổ riêng 112m2 3P ngủ full nội thất giá 5,25tỷ",112,"Hoàng Mai, Hà Nội","46,88 ",5.25,Hoàng Mai
Bán căn góc 2 ban công duplex 199m2 (vị trí đẹp nhất phân khu) full nội thất đồ điện tử cao cấp,199,"Thanh Trì, Hà Nội","69,65 ",13.86,Thanh Trì
"Bán căn hộ chung cư cao cấp, tòa R1 Royal City. 129 m2 3 ngủ 2 wc. Tầng 31. Giá 12 tỷ",129,"Thanh Xuân, Hà Nội","93,02 ",12,Thanh Xuân
"CHỈ 5,65 TỶ SỞ HỮU NGAY CH KHAI SƠN 2PN 90M, CĂN ĐẸP-GIÁ TỐT-KHÔNG MUA NGAY LÀ TIẾC!!!",90,"Long Biên, Hà Nội","62,22 ",5.6,Long Biên
"Bán căn 2 ngủ giá cực rẻ tại chung cư FLC 418 Quang Trung Hà Đông, Lh 0878 800 ***","79,4 ","Hà Đông, Hà Nội","53,15 ",4.22,Hà Đông
"Bán căn hộ 3 ngủ toà AQua Central 44 Yên Phụ. DT 110 m2, 3 ngủ, 2 wc, giá 15 tỷ",110,"Ba Đình, Hà Nội","136,36 ",15,Ba Đình
Siêu phẩm căn góc 3 ngủ duy nhất tại tháp C Hồ Gươm Plaza 102 Trần phú Hà Đông 104.5m2 giá: 4.55 tỷ,"104,5 ","Hà Đông, Hà Nội","43,54 ",4.55,Hà Đông
"Tôi bán căn hộ sân vườn , siêu cao cấp 300.2m2 4PN, 3 WC tầng trung CC TSQ mua bán trực tiếp",300,"Hà Đông, Hà Nội",45,13.5,Hà Đông
"Tôi chính chủ bán căn hộ TSQ Làng Việt Kiều Châu Âu 122m2, 3PN full đồ cao cấp, giá 6 tỷ",122,"Hà Đông, Hà Nội","49,18 ",6,Hà Đông
"Cần bán căn hộ 2pn Intracom Trung Văn 70m2 tầng trung ban công ĐN, đầy đủ nội thất, giá chỉ 3,5 tỷ",70,"Nam Từ Liêm, Hà Nội",50,3.5,Nam Từ Liêm
"Bán căn hộ 2 ngủ siêu đẹp tại chung cư BMM Xa La, Hà Đông 84.5m2, sổ đỏ giá 3. X tỷ",85,"Hà Đông, Hà Nội","44,12 ",3.75,Hà Đông
"Siêu phẩm nhà đẹp giá tốt tại Samsora 105 Chu Văn An, Vạn Phúc Hà Đông, 81m2, giá 4.7 tỷ",81,"Hà Đông, Hà Nội","58,02 ",4.7,Hà Đông
"Tôi chính chủ cần bán căn hộ 3 phòng ngủ, 100m2, tòa Times Tower 35 Lê Văn Lương, giá 7.5 tỷ",100,"Thanh Xuân, Hà Nội",75,7.5,Thanh Xuân
Tôi chính chủ bán căn hộ 3PN 2WC 100m2 tòa Roman Plaza. Giá 7 tỷ có TL,100,"Nam Từ Liêm, Hà Nội",70,7,Nam Từ Liêm
"Bán căn hộ chung cư tại Sakura Tower 6.3 tỷ vnd, 100m2, mua bán trực tiếp, làm việc chính chủ",100,"Thanh Xuân, Hà Nội",63,6.3,Thanh Xuân
"Chính chủ bán căn hộ 2PN - Times City, tầng trung, ban công Nam, có slot ô tô. Giá 6.2 tỷ",76,"Hai Bà Trưng, Hà Nội","81,58 ",6.2,Hai Bà Trưng
"Cần bán gấp trước tết căn hộ 3PN An Bình City 96m2 tầng trung view trực diện hồ, sẵn sổ, giá 6 tỷ",96,"Bắc Từ Liêm, Hà Nội","62,5 ",6,Bắc Từ Liêm
"Em chính chủ bán căn góc 3PN - Times City DT 110m2, ban công Đông Nam, nhà đẹp như ảnh. Giá 9 tỷ",110,"Hai Bà Trưng, Hà Nội","81,82 ",9,Hai Bà Trưng
Nhận nhà ở ngay - sổ đỏ trao tay duy nhất 1 căn 73m2 giá rẻ nhất chỉ 3 tỷ8 - full NT,73,"Long Biên, Hà Nội","52,74 ",3.85,Long Biên
"Cần bán gấp căn hộ 2PN Sun Square 90m ban công ĐN, view thoáng nhà mới sửa full nội thất giá 4,8 tỷ",90,"Nam Từ Liêm, Hà Nội","53,33 ",4.8,Nam Từ Liêm
"Bán Chung cư siêu hot tại Võ Chí Công, Tây Hồ, Hà Nội, 5,35 tỷ, 80m2",80,"Tây Hồ, Hà Nội","66,88 ",5.35,Tây Hồ
Đơn giá chỉ 61tr/m2 Tầng cao thoáng mát diện tích 120m2 (3pn + 3wc) - Có hỗ trợ vay bank,120,"Long Biên, Hà Nội","61,67 ",7.4,Long Biên
"Cần bán gấp căn hộ chung cư KĐT Trung Hòa Nhân Chính, Cầu Giấy, Hà Nội. 6 tỷ, 75m2",75,"Cầu Giấy, Hà Nội",80,6,Cầu Giấy
Cần bán gấp! Chỉ 2.48 tỷ. Căn hộ 2 phòng ngủ trung tâm Hai Bà Trưng. Sổ đỏ chính chủ,48,"Hai Bà Trưng, Hà Nội","51,67 ",2.48,Hai Bà Trưng
Cực hiếm! Tập thể Kim Liên - 65m2 - 2PN - Thiết kế căn hộ duplex thoáng sáng - giá chỉ 2.25 tỷ,65,"Đống Đa, Hà Nội","34,62 ",2.25,Đống Đa
"Bán căn hộ chung cư An Sinh, full nội thất tại ngõ 44 Nguyễn Cơ Thạch, 5,15 tỷ, 84m2",84,"Nam Từ Liêm, Hà Nội","61,31 ",5.15,Nam Từ Liêm
Chính chủ bán căn 75m2 chung cư Harmony Square Nguyễn Tuân,75,"Thanh Xuân, Hà Nội",64,4.8,Thanh Xuân
"Mở bán quỹ căn cuối cùng của dự án Valencia Garden - Việt Hưng, Long Biên",80,"Long Biên, Hà Nội",52,4.16,Long Biên
Giá sốc 2. X 2PN CT4 PCC1 sẵn sổ bao tên 67m2,67,"Hà Đông, Hà Nội","43,28 ",2.9,Hà Đông
"Chủ cần tiền hạ giá bán chung cư Eurowindow- 27 Trần Duy Hưng,125m2, 3PN, Giá: 7,93 tỷ",125,"Cầu Giấy, Hà Nội","63,44 ",7.93,Cầu Giấy
Đầu năm bán căn 58m full nội thất tại chung cư Hateco Xuân Phương gái rẻ cho nhà đầu tư 0973 351 ***,58,"Nam Từ Liêm, Hà Nội","61,21 ",3.55,Nam Từ Liêm
"Bán căn hộ đường Hoàng Minh Giám, 78.3m2, 3PN, 2WC, căn góc, full đồ, hơn 4 tỷ","78,3 ","Thanh Xuân, Hà Nội","60,66 ",4.75,Thanh Xuân
"Bán CC DT 78.6 m2 3PN 2 WC tại chung cư Vật Tư Du Lịch 8 Trần Thủ Độ, giá 4,35 tỷ. LH 0983 873 ***","78,6 ","Hoàng Mai, Hà Nội","55,34 ",4.35,Hoàng Mai
Căn hộ L 610 hh2 Xuân Mai Complex dt 55m thông thuỷ giá 2.890 có thương lượng . Lh : 0988 187 ***,55,"Hà Đông, Hà Nội","52,54 ",2.89,Hà Đông
"Bán căn hộ chung cư Ecohome 3, 68m2, (2PN 2VS) đầy đủ nội thất, giá chỉ 3,7x tỷ",68,"Bắc Từ Liêm, Hà Nội","54,26 ",3.69,Bắc Từ Liêm
"Chính chủ cần bán gấp căn hộ Hh2 Xuân Mai dt 70m , 2 ngủ , 2 wc , 2 loza đủ đồ . Lh : 0988 187 ***",70,"Hà Đông, Hà Nội","44,29 ",3.1,Hà Đông
"Hỗ trợ tư vấn mua NOXH Him Lam Thượng Thanh. Giá: 20,5 triệu/m2. Vay NH 70%, LH: 0984 845 ***",64,"Long Biên, Hà Nội","20,5 ",1.31,Long Biên
"Vợ chồng em bán căn hộ 2 phòng ngủ Rivera Park - DT 72m2 - full đồ đẹp giá 5,9 tỷ - LH 0988 246 ***",72,"Thanh Xuân, Hà Nội","81,94 ",5.9,Thanh Xuân
"Bán căn hộ 1PN tại tòa CT4 KĐT Xa La, giá tốt, 1,72 tỷ, 54m2, Hà Đông, HN",54,"Hà Đông, Hà Nội","31,85 ",1.72,Hà Đông
"Bán căn hộ thiết kế 2PN 2WC, diện tích 93m2, trục 03 full nội thất dự án IPH Indochina Plaza",93,"Cầu Giấy, Hà Nội","90,32 ",8.4,Cầu Giấy
"Chính chủ cần bán căn hộ 3 ngủ Ecohome 3, Tân Xuân, DT 70m2 (3N 2VS), nt full đẹp, giá chỉ 3,7x tỷ",70,"Bắc Từ Liêm, Hà Nội","54,14 ",3.79,Bắc Từ Liêm
"Căn góc thiết kế 3PN2WC, trục 15, diện tích 108m2, giá bán 10,5 tỷ Mipec Rubik 360 tại Xuân Thủy",108,"Cầu Giấy, Hà Nội","97,22 ",10.5,Cầu Giấy
Chính chủ bán căn 3 ngủ tòa nhà Udic Riverside 122 Vĩnh Tuy full nội thất LH 0906 289 ***,95,"Hai Bà Trưng, Hà Nội","64,74 ",6.15,Hai Bà Trưng
Bán căn 54m2 (2PN + 2wc) tầng trung đẹp. Gía bán 2.4x tỷ - có hỗ trợ vay bank - 0588 090 ***,54,"Long Biên, Hà Nội","45,93 ",2.48,Long Biên
"(Không báo ảo) bán căn 4PN 2WC, diện tích 153.2m2, full nội thất giá bán 11 tỷ Sunshine Center","153,2 ","Nam Từ Liêm, Hà Nội","71,8 ",11,Nam Từ Liêm
"Tư vấn hồ sơ nhà ở xã hội đường Nguyễn Xiển, diện tích 70 - 77m2 LH: 0984 845 ***",77,"Thanh Trì, Hà Nội","19,5 ",1.5,Thanh Trì
"(Không báo ảo)bán căn hộ 2PN2WC, diện tích 79m2, tòa A3, trục 09, giá bán 7,15 tỷ Vinhomes Gardenia",79,"Nam Từ Liêm, Hà Nội","90,51 ",7.15,Nam Từ Liêm
"Giảm 500tr bán gấp CH An Bình City 2PN 75m2, tầng trung hướng ban công ĐN full đồ giá chỉ 4,9 tỷ",75,"Bắc Từ Liêm, Hà Nội","65,33 ",4.9,Bắc Từ Liêm
"Bán căn hộ gia đình nhanh,có bớt lộc lá cho chủ mới",50,"Hoàng Mai, Hà Nội","57,8 ",2.89,Hoàng Mai
"Quỹ căn chính chủ, view đẹp, giá rẻ cắt lỗ The Zurich-Vin OCP do chủ nhà không có nhu cầu ở bán gấp",70,"Gia Lâm, Hà Nội",55,3.85,Gia Lâm
"Tôi chính chủ bán căn hộ chung cư tầng 36 - DT 93,1m2, 2 ngủ, full nội thất, giá 7tỷ5","93,1 ","Nam Từ Liêm, Hà Nội","80,56 ",7.5,Nam Từ Liêm
"Bác Thuần bán gấp chung cư CT1A Phạm Văn Đồng, P1005, DT: 72m2, 4.15 tỷ Bắc Từ Liêm Hà Nội",72,"Bắc Từ Liêm, Hà Nội","57,64 ",4.15,Bắc Từ Liêm
"Bán Căn Góc, Diện Tích 79.53m2, Thiết kế 2pn2wc, Trục 05 View Nội Khu, Dự Án Hoàng Thành Pear","79,53 ","Nam Từ Liêm, Hà Nội","75,44 ",6,Nam Từ Liêm
"Bán CC 113 Trung Kính, diện tích 110m2. Nhà đẹp, căn góc. View hồ. Tell 0934 288 ***",110,"Cầu Giấy, Hà Nội","71,82 ",7.9,Cầu Giấy
"Bán căn hộ góc tầng 18 tòa Ruby dự án Matrix One, 3 phòng ngủ, View rộng hướng mát, đầy đủ đồ.",111,"Nam Từ Liêm, Hà Nội","99,1 ",11,Nam Từ Liêm
"Căn hộ tập thể - 113m2 - 3 ngủ, 2WC, full nội thất như hình - Phố Trần Đại Nghĩa, Quận Hai Bà Trưng",113,"Hai Bà Trưng, Hà Nội","48,67 ",5.5,Hai Bà Trưng
"Bán CHCC CT7H, J, K Dương Nội rộng 57m2, 2PN, 2WC giá 3.180tỷ. LH: 0988 187 ***",57,"Hà Đông, Hà Nội","55,79 ",3.18,Hà Đông
"Bán căn hộ, thiết kế 3pn2wc, diện tích 93m2, trục 08, ban công Đông Nam giá 8 tỷ dự án The Nine",92,"Cầu Giấy, Hà Nội","90,22 ",8.3,Cầu Giấy
"Bán căn hộ chung cư trung hoà nhân chính . Toà 17T7diện tích 126 m2 3 ngủ . Nội thất mới . 9,2 tỷ",155,"Cầu Giấy, Hà Nội","59,36 ",9.2,Cầu Giấy
"Bán căn hộ The Spark Dương Nội DT 86m2 tầng trung đủ đồ, giá 3,480. LH: 0988 187 ***",86,"Hà Đông, Hà Nội","40,47 ",3.48,Hà Đông
Chính thức nhận booking The Matrix One giai đoạn 2 (Matrix Premium),85,"Nam Từ Liêm, Hà Nội",120,10.2,Nam Từ Liêm
"Tôi bán căn hộ tầng 15 tòa nhà Star Tower - 68 Dương Đình Nghệ. DT 100m2, 3PN, 2VS full đồ",100,"Cầu Giấy, Hà Nội","73,5 ",7.35,Cầu Giấy
"Cần bán gấp căn hộ 146m2 The Pride Hải Phát 3 ngủ, 3 wc, 2 loga rộng giá 6.1 tỷ thg. Lh: 0988 187 ***",146,"Hà Đông, Hà Nội","41,78 ",6.1,Hà Đông
"Chính chủ cần bán căn hộ CT7 Dương Nội DT 56m2 đủ đồ giá 2,770tỷ. LH: 0988 187 ***",56,"Hà Đông, Hà Nội","49,46 ",2.77,Hà Đông
"Bán căn hộ 3 ngủ Hateco Hoàng Mai, View triệu đô, Sát Gamuda Central Residence, 79.5/86m2, 4.15 tỷ",86,"Hoàng Mai, Hà Nội","48,26 ",4.15,Hoàng Mai
"Hot - Chính chủ cần bán căn hộ Ecohome 3, DT 63m2 (2pn 2vs), view đẹp, giá nhỉnh 3tỷ",63,"Bắc Từ Liêm, Hà Nội","49,21 ",3.1,Bắc Từ Liêm
"Duplex - tìm chủ mới, thiết kế căn hộ 3PN2WC, diện tích 186m2, trục 05, ban công Đông Bắc, The Zei",186,"Nam Từ Liêm, Hà Nội","96,77 ",18,Nam Từ Liêm
"Cần bán căn hộ CT7H, J, K - DT 72m2, 2PN, 2WC full đồ đẹp. LH: 0988 187 ***",72,"Hà Đông, Hà Nội",50,3.6,Hà Đông
"Bán căn hộ FLC Quang Trung - Diện tích 80m2, 2 phòng ngủ, 2 vệ sinh, giá 4,25 tỷ",80,"Hà Đông, Hà Nội","53,12 ",4.25,Hà Đông
"Duy nhất căn chung cư Tây Hồ hướng Nam view hồ gần Lotte, 128m2, 3PN giá rẻ",128,"Tây Hồ, Hà Nội",60,7.68,Tây Hồ
"Rẻ nhất thị trường căn 3PN 100m2 Park Hill Times City, tầng trung, giá 9 tỷ. LH. 0962 984 ***",100,"Hai Bà Trưng, Hà Nội",90,9,Hai Bà Trưng
"Cần bán hộ 1PN sẵn sổ chỉ việc xách vali về ở giá đẹp chỉ 3tỷ9 bao phí , view sông cực chill",45,"Hai Bà Trưng, Hà Nội","86,67 ",3.9,Hai Bà Trưng
"Rẻ nhất thị trường căn 2PN 80m2 tòa Park 6 Times City, tầng trung, hướng ĐN. LH: 0962 984 ***",80,"Hai Bà Trưng, Hà Nội","86,88 ",6.95,Hai Bà Trưng
"Căn 3PN - 120m2 căn góc- Sunshine Garden view thơ mộng, giá chỉ 7 tỷ bao phí. Gọi e Tuấn Anh ngay ạ",120,"Hai Bà Trưng, Hà Nội","58,33 ",7,Hai Bà Trưng
"Bán căn hộ 4PN 3WC, 172m2, trục 09 view Hồ Tây hướng Đông tòa N03T2 Taseco Ngoại Giao Đoàn",171,"Bắc Từ Liêm, Hà Nội","87,72 ",15,Bắc Từ Liêm
"Bán căn hộ 1PN tại Chung cư Đại Thanh, 1,93 tỷ, 45,5m2 Căn góc có sổ đỏ","45,5 ","Thanh Trì, Hà Nội","42,42 ",1.93,Thanh Trì
"Chính chủ chuyển nhượng lại căn Masteri Water Front giá chỉ 72tr/m2 tòa H1, tầng trung view thoáng",75,"Gia Lâm, Hà Nội",72,5.4,Gia Lâm
"Sốc - Bán căn hộ chính chủ 2PN, nội thất đầy đủ, khách hàng chỉ việc sách vali về ở trước tết",77,"Long Biên, Hà Nội","55,84 ",4.3,Long Biên
Chuyển nhượng căn hộ 4PN3WC tại Sunshine Garden. Liên hệ Cao Tuấn Anh 0964 997 ***,128,"Hai Bà Trưng, Hà Nội","50,77 ",6.5,Hai Bà Trưng
Hiếm! Căn góc 3 PN sáng đang bán tại Times City với giá chỉ 11.2 tỷ. LH: 0982 926 ***,110,"Hai Bà Trưng, Hà Nội",100,11,Hai Bà Trưng
"Căn hộ 52m giá tốt nhất khu vực! Hàng xóm Goldmark City, mua là ở ngay!",52,"Bắc Từ Liêm, Hà Nội","51,92 ",2.7,Bắc Từ Liêm
Chính chủ gửi bán CH chung cư FLC Green Apartment 2N2VS full 45m2 giá 2.5 tỷ bao phí LH 0853 368 ***,45,"Nam Từ Liêm, Hà Nội","55,56 ",2.5,Nam Từ Liêm
"Bán căn góc 116m2 tòa C chung cư Báo Nhân Dân, Trần Hữu Dực full NT giá nhỉnh 48tr/m2 LH 0916 820 ***",116,"Nam Từ Liêm, Hà Nội","48,02 ",5.57,Nam Từ Liêm
"Chính chủ cần tiền bán gấp căn hộ tập thể Cao Su Sao Vàng, Khương Đình, 60m2, 3 PN 2WC chỉ 2,45 tỷ",60,"Thanh Xuân, Hà Nội","40,83 ",2.45,Thanh Xuân
"Chính chủ cần bán gấp, căn hộ 3 phòng ngủ, tập thể Cao Su Sao Vàng, 65m2 chỉ 2,48 tỷ",65,"Thanh Xuân, Hà Nội","38,15 ",2.48,Thanh Xuân
"Bán gấp chung cư 95 m2 3PN Tòa Sakura Tower, 47 Vũ Trọng Phụng, Thanh Xuân, 6.75 tỷ",90,"Thanh Xuân, Hà Nội",75,6.75,Thanh Xuân
"Hàng hot! Chính chủ bán căn hộ 1 PN diện tích 47.5 m2, giá 2.7 tỷ tại S4.01 Vinhomes Smart City","47,5 ","Nam Từ Liêm, Hà Nội","56,84 ",2.7,Nam Từ Liêm
"Chính chủ bán căn hộ 3PN 2WC giá 4,8 tỷ Bluegem Thanh Trì","85,4 ","Thanh Trì, Hà Nội","56,21 ",4.8,Thanh Trì
"Gấp Gấp, Phải Thật Nhanh Goldmark City, Giá Bán 4,75 tỷ, Diện Tích78 m2, Thiết kế 2pn2wc siêu hiếm",78,"Bắc Từ Liêm, Hà Nội","60,9 ",4.75,Bắc Từ Liêm
"Chính chủ em cần bán CH tại tòa HH4B Linh Đàm, tầng 29, căn 2 ngủ 2wc, nhà có nội thất",56,"Hoàng Mai, Hà Nội","43,39 ",2.43,Hoàng Mai
"Độc quyền, chỉ 47tr/m2 sở hữu ngay căn hộ 4PN đẹp không tì vết tại 1 dự án trung tâm thành phố",128,"Hai Bà Trưng, Hà Nội","48,44 ",6.2,Hai Bà Trưng
"Bán căn hộ K35 Tân Mai, Hoàng Mai tòa NO1B DT: 85 m2 3 ngủ, 2 vệ sinh. Giá 5,6 tỷ LH 0983 873 ***",85,"Hoàng Mai, Hà Nội","65,88 ",5.6,Hoàng Mai
"Căn 3PN - 108m2 Sunshine Garden view sông thơ mộng, giá chỉ 6,790 tỷ bao phí. Gọi e Tuấn Anh ngay ạ",128,"Hai Bà Trưng, Hà Nội","53,05 ",6.79,Hai Bà Trưng
"Bán căn hộ 98m2 B17 Sài Đồng full nội thất 3PN 2WC, trung tâm quận, giá 42tr/m2 LH: 0902 132 ***",98,"Long Biên, Hà Nội",42,4.12,Long Biên
Hiếm. Càng ở càng lãi với căn hộ chung cư cao cấp Sunshine Garden 3PN giá chỉ 6ty8. Em Tuấn Anh,108,"Hai Bà Trưng, Hà Nội","62,96 ",6.8,Hai Bà Trưng
"Bán căn hộ chung cư tại Sunshine Garden, giá tốt nhất chỉ 6,69 tỷ VND, 95m2",95,"Hai Bà Trưng, Hà Nội","70,42 ",6.69,Hai Bà Trưng
"Em Đúc. Bán căn hộ 3pn2wc, Diện Tích 145m2, Tháp Tây, Dự án IPH indochina (Siêu Hiếm)",145,"Cầu Giấy, Hà Nội","101,03 ",14.65,Cầu Giấy
"Siêu phẩm tại Hemisco Hà Đông, 80m2, sổ đỏ giá 3.6x tỷ",79,"Hà Đông, Hà Nội","45,95 ",3.63,Hà Đông
"Bán căn hộ chung cư tại Sunshine Garden giá sốc chỉ 6,69 tỷ VND - 95m2. Thiết kế: 3 PN - 2WC",95,"Hai Bà Trưng, Hà Nội","70,42 ",6.69,Hai Bà Trưng
"Chính chủ Bluegem Tower dự kiến 6,9 tỷ - 126,7m2 - 4PN - 3WC, hỗ trợ vay 70% ân hạn nợ gốc 12 tháng","126,7 ","Thanh Trì, Hà Nội","54,46 ",6.9,Thanh Trì
Gia đình lên căn lớn hơn bán đi căn 3PN 2WC 90m2 view nội khu full nội thất chung cư An Bình City,90,"Bắc Từ Liêm, Hà Nội","72,22 ",6.5,Bắc Từ Liêm
"Bán CC 3PN view đẹp tại The Terra An Hưng, giá tốt 6 tỷ, 90m2",90,"Hà Đông, Hà Nội","66,67 ",6,Hà Đông
Chính chủ bán gấp căn hộ An Bình Plaza. DT 83m2 3PN Full nội thất. Giá tốt 5.9 tỷ. LH 0964 460 ***,83,"Nam Từ Liêm, Hà Nội","71,08 ",5.9,Nam Từ Liêm
"Bán chung cư Hope hàng chủ đầu tư có sổ đỏ còn chính sách vay ngân hàng, hoặc đóng tiến độ cđt","69,74 ","Long Biên, Hà Nội","46,5 ",3.24,Long Biên
Em có quỹ căn hộ chung cư Golden Field 2PN 65m2 giá từ 4.5 tỷ full đồ. Liên hệ 0853 368 ***,65,"Nam Từ Liêm, Hà Nội","69,23 ",4.5,Nam Từ Liêm
Căn hộ duplex Sapphire - 235m2 - 5pn5vs - TT Thanh Xuân - view toàn cảnh thành phố - Giá tốt,235,"Thanh Xuân, Hà Nội","52,34 ",12.3,Thanh Xuân
